Código Dane del municipio [Ordenado por este campo] 	Nombre del departamento 	Nombre del municipio
05 - 306 	ANTIOQUIA 	GIRALDO
05 - 308 	ANTIOQUIA 	GIRARDOTA
05 - 310 	ANTIOQUIA 	GÓMEZ PLATA
05 - 313 	ANTIOQUIA 	GRANADA
05 - 315 	ANTIOQUIA 	GUADALUPE
05 - 318 	ANTIOQUIA 	GUARNE
05 - 321 	ANTIOQUIA 	GUATAPÉ
05 - 347 	ANTIOQUIA 	HELICONIA
05 - 353 	ANTIOQUIA 	HISPANIA
05 - 360 	ANTIOQUIA 	ITAGÜÍ
05 - 361 	ANTIOQUIA 	ITUANGO
05 - 364 	ANTIOQUIA 	JARDÍN
05 - 368 	ANTIOQUIA 	JERICÓ
05 - 376 	ANTIOQUIA 	LA CEJA
05 - 380 	ANTIOQUIA 	LA ESTRELLA
05 - 390 	ANTIOQUIA 	LA PINTADA
05 - 400 	ANTIOQUIA 	LA UNIÓN
05 - 411 	ANTIOQUIA 	LIBORINA
05 - 425 	ANTIOQUIA 	MACEO
05 - 440 	ANTIOQUIA 	MARINILLA
05 - 467 	ANTIOQUIA 	MONTEBELLO
05 - 475 	ANTIOQUIA 	MURINDÓ
05 - 480 	ANTIOQUIA 	MUTATÁ
05 - 483 	ANTIOQUIA 	NARIÑO
05 - 490 	ANTIOQUIA 	NECOCLÍ
05 - 495 	ANTIOQUIA 	NECHÍ
05 - 501 	ANTIOQUIA 	OLAYA
05 - 541 	ANTIOQUIA 	PEÑOL
05 - 543 	ANTIOQUIA 	PEQUE
05 - 576 	ANTIOQUIA 	PUEBLORRICO
05 - 579 	ANTIOQUIA 	PUERTO BERRÍO
05 - 585 	ANTIOQUIA 	PUERTO NARE
05 - 591 	ANTIOQUIA 	PUERTO TRIUNFO
05 - 604 	ANTIOQUIA 	REMEDIOS
05 - 607 	ANTIOQUIA 	RETIRO
05 - 615 	ANTIOQUIA 	RIONEGRO
05 - 628 	ANTIOQUIA 	SABANALARGA
05 - 631 	ANTIOQUIA 	SABANETA
05 - 642 	ANTIOQUIA 	SALGAR
05 - 647 	ANTIOQUIA 	SAN ANDRÉS DE CUERQUÍA
05 - 649 	ANTIOQUIA 	SAN CARLOS
05 - 652 	ANTIOQUIA 	SAN FRANCISCO
05 - 656 	ANTIOQUIA 	SAN JERÓNIMO
05 - 658 	ANTIOQUIA 	SAN JOSÉ DE LA MONTAÑA
05 - 659 	ANTIOQUIA 	SAN JUAN DE URABÁ
05 - 660 	ANTIOQUIA 	SAN LUIS
05 - 664 	ANTIOQUIA 	SAN PEDRO DE LOS MILAGROS
05 - 665 	ANTIOQUIA 	SAN PEDRO DE URABÁ
05 - 667 	ANTIOQUIA 	SAN RAFAEL
05 - 670 	ANTIOQUIA 	SAN ROQUE
05 - 674 	ANTIOQUIA 	SAN VICENTE FERRER
05 - 679 	ANTIOQUIA 	SANTA BÁRBARA
05 - 686 	ANTIOQUIA 	SANTA ROSA DE OSOS
05 - 690 	ANTIOQUIA 	SANTO DOMINGO
05 - 697 	ANTIOQUIA 	EL SANTUARIO
05 - 736 	ANTIOQUIA 	SEGOVIA
05 - 756 	ANTIOQUIA 	SONSÓN
05 - 761 	ANTIOQUIA 	SOPETRÁN
05 - 789 	ANTIOQUIA 	TÁMESIS
05 - 790 	ANTIOQUIA 	TARAZÁ
05 - 792 	ANTIOQUIA 	TARSO
05 - 809 	ANTIOQUIA 	TITIRIBÍ
05 - 819 	ANTIOQUIA 	TOLEDO
05 - 837 	ANTIOQUIA 	TURBO
05 - 842 	ANTIOQUIA 	URAMITA
05 - 847 	ANTIOQUIA 	URRAO
05 - 854 	ANTIOQUIA 	VALDIVIA
05 - 856 	ANTIOQUIA 	VALPARAÍSO
05 - 858 	ANTIOQUIA 	VEGACHÍ
05 - 861 	ANTIOQUIA 	VENECIA
05 - 873 	ANTIOQUIA 	VIGÍA DEL FUERTE
05 - 885 	ANTIOQUIA 	YALÍ
05 - 887 	ANTIOQUIA 	YARUMAL
05 - 890 	ANTIOQUIA 	YOLOMBÓ
05 - 893 	ANTIOQUIA 	YONDÓ
05 - 895 	ANTIOQUIA 	ZARAGOZA
08 - 001 	ATLANTICO 	BARRANQUILLA
08 - 078 	ATLANTICO 	BARANOA
08 - 137 	ATLANTICO 	CAMPO DE LA CRUZ
08 - 141 	ATLANTICO 	CANDELARIA
08 - 296 	ATLANTICO 	GALAPA
08 - 372 	ATLANTICO 	JUAN DE ACOSTA
08 - 421 	ATLANTICO 	LURUACO
08 - 433 	ATLANTICO 	MALAMBO
08 - 436 	ATLANTICO 	MANATÍ
08 - 520 	ATLANTICO 	PALMAR DE VARELA
08 - 549 	ATLANTICO 	PIOJÓ
08 - 558 	ATLANTICO 	POLONUEVO
08 - 560 	ATLANTICO 	PONEDERA
08 - 573 	ATLANTICO 	PUERTO COLOMBIA
08 - 606 	ATLANTICO 	REPELÓN
08 - 634 	ATLANTICO 	SABANAGRANDE
08 - 638 	ATLANTICO 	SABANALARGA
08 - 675 	ATLANTICO 	SANTA LUCÍA
08 - 685 	ATLANTICO 	SANTO TOMÁS
08 - 758 	ATLANTICO 	SOLEDAD
08 - 770 	ATLANTICO 	SUAN
08 - 832 	ATLANTICO 	TUBARÁ
08 - 849 	ATLANTICO 	USIACURÍ
11 - 001 	BOGOTA 	BOGOTÁ, D.C.
13 - 001 	BOLIVAR 	CARTAGENA DE INDIAS
13 - 006 	BOLIVAR 	ACHÍ
13 - 030 	BOLIVAR 	ALTOS DEL ROSARIO
13 - 042 	BOLIVAR 	ARENAL
13 - 052 	BOLIVAR 	ARJONA
13 - 062 	BOLIVAR 	ARROYOHONDO
13 - 074 	BOLIVAR 	BARRANCO DE LOBA
13 - 140 	BOLIVAR 	CALAMAR
13 - 160 	BOLIVAR 	CANTAGALLO
13 - 188 	BOLIVAR 	CICUCO
13 - 212 	BOLIVAR 	CÓRDOBA
13 - 222 	BOLIVAR 	CLEMENCIA
13 - 244 	BOLIVAR 	EL CARMEN DE BOLÍVAR
13 - 248 	BOLIVAR 	EL GUAMO
13 - 268 	BOLIVAR 	EL PEÑÓN
13 - 300 	BOLIVAR 	HATILLO DE LOBA
13 - 430 	BOLIVAR 	MAGANGUÉ
13 - 433 	BOLIVAR 	MAHATES
13 - 440 	BOLIVAR 	MARGARITA
13 - 442 	BOLIVAR 	MARÍA LA BAJA
13 - 458 	BOLIVAR 	MONTECRISTO
13 - 468 	BOLIVAR 	MOMPÓS
13 - 473 	BOLIVAR 	MORALES
13 - 490 	BOLIVAR 	NOROSÍ
13 - 549 	BOLIVAR 	PINILLOS
13 - 580 	BOLIVAR 	REGIDOR
13 - 600 	BOLIVAR 	RÍO VIEJO
13 - 620 	BOLIVAR 	SAN CRISTÓBAL
13 - 647 	BOLIVAR 	SAN ESTANISLAO
13 - 650 	BOLIVAR 	SAN FERNANDO
13 - 654 	BOLIVAR 	SAN JACINTO
13 - 655 	BOLIVAR 	SAN JACINTO DEL CAUCA
13 - 657 	BOLIVAR 	SAN JUAN NEPOMUCENO
13 - 667 	BOLIVAR 	SAN MARTÍN DE LOBA
13 - 670 	BOLIVAR 	SAN PABLO
13 - 673 	BOLIVAR 	SANTA CATALINA
13 - 683 	BOLIVAR 	SANTA ROSA
13 - 688 	BOLIVAR 	SANTA ROSA DEL SUR
13 - 744 	BOLIVAR 	SIMITÍ
13 - 760 	BOLIVAR 	SOPLAVIENTO
13 - 780 	BOLIVAR 	TALAIGUA NUEVO
13 - 810 	BOLIVAR 	TIQUISIO
13 - 836 	BOLIVAR 	TURBACO
13 - 838 	BOLIVAR 	TURBANÁ
13 - 873 	BOLIVAR 	VILLANUEVA
13 - 894 	BOLIVAR 	ZAMBRANO
15 - 001 	BOYACA 	TUNJA
15 - 022 	BOYACA 	ALMEIDA
15 - 047 	BOYACA 	AQUITANIA
15 - 051 	BOYACA 	ARCABUCO
15 - 087 	BOYACA 	BELÉN
15 - 090 	BOYACA 	BERBEO
15 - 092 	BOYACA 	BETÉITIVA
15 - 097 	BOYACA 	BOAVITA
15 - 104 	BOYACA 	BOYACÁ
15 - 106 	BOYACA 	BRICEÑO
15 - 109 	BOYACA 	BUENAVISTA
15 - 114 	BOYACA 	BUSBANZÁ
15 - 131 	BOYACA 	CALDAS
15 - 135 	BOYACA 	CAMPOHERMOSO
15 - 162 	BOYACA 	CERINZA
15 - 172 	BOYACA 	CHINAVITA
15 - 176 	BOYACA 	CHIQUINQUIRÁ
15 - 180 	BOYACA 	CHISCAS
15 - 183 	BOYACA 	CHITA
15 - 185 	BOYACA 	CHITARAQUE
15 - 187 	BOYACA 	CHIVATÁ
15 - 189 	BOYACA 	CIÉNEGA
15 - 204 	BOYACA 	CÓMBITA
15 - 212 	BOYACA 	COPER
15 - 215 	BOYACA 	CORRALES
15 - 218 	BOYACA 	COVARACHÍA
15 - 223 	BOYACA 	CUBARÁ
15 - 224 	BOYACA 	CUCAITA
15 - 226 	BOYACA 	CUÍTIVA
15 - 232 	BOYACA 	CHÍQUIZA
15 - 236 	BOYACA 	CHIVOR
15 - 238 	BOYACA 	DUITAMA
15 - 244 	BOYACA 	EL COCUY
15 - 248 	BOYACA 	EL ESPINO
15 - 272 	BOYACA 	FIRAVITOBA
15 - 276 	BOYACA 	FLORESTA
15 - 293 	BOYACA 	GACHANTIVÁ
15 - 296 	BOYACA 	GÁMEZA
15 - 299 	BOYACA 	GARAGOA
15 - 317 	BOYACA 	GUACAMAYAS
15 - 322 	BOYACA 	GUATEQUE
15 - 325 	BOYACA 	GUAYATÁ
15 - 332 	BOYACA 	GÜICÁN
15 - 362 	BOYACA 	IZA
15 - 367 	BOYACA 	JENESANO
15 - 368 	BOYACA 	JERICÓ
15 - 377 	BOYACA 	LABRANZAGRANDE
15 - 380 	BOYACA 	LA CAPILLA
15 - 401 	BOYACA 	LA VICTORIA
15 - 403 	BOYACA 	LA UVITA
15 - 407 	BOYACA 	VILLA DE LEYVA
15 - 425 	BOYACA 	MACANAL
15 - 442 	BOYACA 	MARIPÍ
15 - 455 	BOYACA 	MIRAFLORES
15 - 464 	BOYACA 	MONGUA
15 - 466 	BOYACA 	MONGUÍ
15 - 469 	BOYACA 	MONIQUIRÁ
15 - 476 	BOYACA 	MOTAVITA
15 - 480 	BOYACA 	MUZO
15 - 491 	BOYACA 	NOBSA
15 - 494 	BOYACA 	NUEVO COLÓN
15 - 500 	BOYACA 	OICATÁ
15 - 507 	BOYACA 	OTANCHE
15 - 511 	BOYACA 	PACHAVITA
15 - 514 	BOYACA 	PÁEZ
15 - 516 	BOYACA 	PAIPA
15 - 518 	BOYACA 	PAJARITO
15 - 522 	BOYACA 	PANQUEBA
15 - 531 	BOYACA 	PAUNA
15 - 533 	BOYACA 	PAYA
15 - 537 	BOYACA 	PAZ DE RÍO
15 - 542 	BOYACA 	PESCA
15 - 550 	BOYACA 	PISBA
15 - 572 	BOYACA 	PUERTO BOYACÁ
15 - 580 	BOYACA 	QUÍPAMA
15 - 599 	BOYACA 	RAMIRIQUÍ
15 - 600 	BOYACA 	RÁQUIRA
15 - 621 	BOYACA 	RONDÓN
15 - 632 	BOYACA 	SABOYÁ
15 - 638 	BOYACA 	SÁCHICA
15 - 646 	BOYACA 	SAMACÁ
15 - 660 	BOYACA 	SAN EDUARDO
15 - 664 	BOYACA 	SAN JOSÉ DE PARE
15 - 667 	BOYACA 	SAN LUIS DE GACENO
15 - 673 	BOYACA 	SAN MATEO
15 - 676 	BOYACA 	SAN MIGUEL DE SEMA
15 - 681 	BOYACA 	SAN PABLO DE BORBUR
15 - 686 	BOYACA 	SANTANA
15 - 690 	BOYACA 	SANTA MARÍA
15 - 693 	BOYACA 	SANTA ROSA DE VITERBO
15 - 696 	BOYACA 	SANTA SOFÍA
15 - 720 	BOYACA 	SATIVANORTE
15 - 723 	BOYACA 	SATIVASUR
15 - 740 	BOYACA 	SIACHOQUE
15 - 753 	BOYACA 	SOATÁ
15 - 755 	BOYACA 	SOCOTÁ
15 - 757 	BOYACA 	SOCHA
15 - 759 	BOYACA 	SOGAMOSO
15 - 761 	BOYACA 	SOMONDOCO
15 - 762 	BOYACA 	SORA
15 - 763 	BOYACA 	SOTAQUIRÁ
15 - 764 	BOYACA 	SORACÁ
15 - 774 	BOYACA 	SUSACÓN
15 - 776 	BOYACA 	SUTAMARCHÁN
15 - 778 	BOYACA 	SUTATENZA
15 - 790 	BOYACA 	TASCO
15 - 798 	BOYACA 	TENZA
15 - 804 	BOYACA 	TIBANÁ
15 - 806 	BOYACA 	TIBASOSA
15 - 808 	BOYACA 	TINJACÁ
15 - 810 	BOYACA 	TIPACOQUE
15 - 814 	BOYACA 	TOCA
15 - 816 	BOYACA 	TOGÜÍ
15 - 820 	BOYACA 	TÓPAGA
15 - 822 	BOYACA 	TOTA
15 - 832 	BOYACA 	TUNUNGUÁ
15 - 835 	BOYACA 	TURMEQUÉ
15 - 837 	BOYACA 	TUTA
15 - 839 	BOYACA 	TUTAZÁ
15 - 842 	BOYACA 	ÚMBITA
15 - 861 	BOYACA 	VENTAQUEMADA
15 - 879 	BOYACA 	VIRACACHÁ
15 - 897 	BOYACA 	ZETAQUIRA
17 - 001 	CALDAS 	MANIZALES
17 - 013 	CALDAS 	AGUADAS
17 - 042 	CALDAS 	ANSERMA
17 - 050 	CALDAS 	ARANZAZU
17 - 088 	CALDAS 	BELALCÁZAR
17 - 174 	CALDAS 	CHINCHINÁ
17 - 272 	CALDAS 	FILADELFIA
17 - 380 	CALDAS 	LA DORADA
17 - 388 	CALDAS 	LA MERCED
17 - 433 	CALDAS 	MANZANARES
17 - 442 	CALDAS 	MARMATO
17 - 444 	CALDAS 	MARQUETALIA
17 - 446 	CALDAS 	MARULANDA
17 - 486 	CALDAS 	NEIRA
17 - 495 	CALDAS 	NORCASIA
17 - 513 	CALDAS 	PÁCORA
17 - 524 	CALDAS 	PALESTINA
17 - 541 	CALDAS 	PENSILVANIA
17 - 614 	CALDAS 	RIOSUCIO
17 - 616 	CALDAS 	RISARALDA
17 - 653 	CALDAS 	SALAMINA
17 - 662 	CALDAS 	SAMANÁ
17 - 665 	CALDAS 	SAN JOSÉ
17 - 777 	CALDAS 	SUPÍA
17 - 867 	CALDAS 	VICTORIA
17 - 873 	CALDAS 	VILLAMARÍA
17 - 877 	CALDAS 	VITERBO
18 - 001 	CAQUETA 	FLORENCIA
18 - 029 	CAQUETA 	ALBANIA
18 - 094 	CAQUETA 	BELÉN DE LOS ANDAQUÍES
18 - 150 	CAQUETA 	CARTAGENA DEL CHAIRÁ
18 - 205 	CAQUETA 	CURILLO
18 - 247 	CAQUETA 	EL DONCELLO
18 - 256 	CAQUETA 	EL PAUJÍL
18 - 410 	CAQUETA 	LA MONTAÑITA
18 - 460 	CAQUETA 	MILÁN
18 - 479 	CAQUETA 	MORELIA
18 - 592 	CAQUETA 	PUERTO RICO
18 - 610 	CAQUETA 	SAN JOSÉ DEL FRAGUA
18 - 753 	CAQUETA 	SAN VICENTE DEL CAGUÁN
18 - 756 	CAQUETA 	SOLANO
18 - 785 	CAQUETA 	SOLITA
18 - 860 	CAQUETA 	VALPARAÍSO
19 - 001 	CAUCA 	POPAYÁN
19 - 022 	CAUCA 	ALMAGUER
19 - 050 	CAUCA 	ARGELIA
19 - 075 	CAUCA 	BALBOA
19 - 100 	CAUCA 	BOLÍVAR
19 - 110 	CAUCA 	BUENOS AIRES
19 - 130 	CAUCA 	CAJIBÍO
19 - 137 	CAUCA 	CALDONO
19 - 142 	CAUCA 	CALOTO
19 - 212 	CAUCA 	CORINTO
19 - 256 	CAUCA 	EL TAMBO
19 - 290 	CAUCA 	FLORENCIA
19 - 300 	CAUCA 	GUACHENÉ
19 - 318 	CAUCA 	GUAPÍ
19 - 355 	CAUCA 	INZÁ
19 - 364 	CAUCA 	JAMBALÓ
19 - 392 	CAUCA 	LA SIERRA
19 - 397 	CAUCA 	LA VEGA
19 - 418 	CAUCA 	LÓPEZ DE MICAY
19 - 450 	CAUCA 	MERCADERES
19 - 455 	CAUCA 	MIRANDA
19 - 473 	CAUCA 	MORALES
19 - 513 	CAUCA 	PADILLA
19 - 517 	CAUCA 	PÁEZ
19 - 532 	CAUCA 	PATÍA
19 - 533 	CAUCA 	PIAMONTE
19 - 548 	CAUCA 	PIENDAMÓ
19 - 573 	CAUCA 	PUERTO TEJADA
19 - 585 	CAUCA 	PURACÉ
19 - 622 	CAUCA 	ROSAS
19 - 693 	CAUCA 	SAN SEBASTIÁN
19 - 698 	CAUCA 	SANTANDER DE QUILICHAO
19 - 701 	CAUCA 	SANTA ROSA
19 - 743 	CAUCA 	SILVIA
19 - 760 	CAUCA 	SOTARA
19 - 780 	CAUCA 	SUÁREZ
19 - 785 	CAUCA 	SUCRE
19 - 807 	CAUCA 	TIMBÍO
19 - 809 	CAUCA 	TIMBIQUÍ
19 - 821 	CAUCA 	TORIBÍO
19 - 824 	CAUCA 	TOTORÓ
19 - 845 	CAUCA 	VILLA RICA
20 - 001 	CESAR 	VALLEDUPAR
20 - 011 	CESAR 	AGUACHICA
20 - 013 	CESAR 	AGUSTÍN CODAZZI
20 - 032 	CESAR 	ASTREA
20 - 045 	CESAR 	BECERRIL
20 - 060 	CESAR 	BOSCONIA
20 - 175 	CESAR 	CHIMICHAGUA
20 - 178 	CESAR 	CHIRIGUANÁ
20 - 228 	CESAR 	CURUMANÍ
20 - 238 	CESAR 	EL COPEY
20 - 250 	CESAR 	EL PASO
20 - 295 	CESAR 	GAMARRA
20 - 310 	CESAR 	GONZÁLEZ
20 - 383 	CESAR 	LA GLORIA
20 - 400 	CESAR 	LA JAGUA DE IBIRICO
20 - 443 	CESAR 	MANAURE BALCÓN DEL CESAR
20 - 517 	CESAR 	PAILITAS
20 - 550 	CESAR 	PELAYA
20 - 570 	CESAR 	PUEBLO BELLO
20 - 614 	CESAR 	RÍO DE ORO
20 - 621 	CESAR 	LA PAZ
20 - 710 	CESAR 	SAN ALBERTO
20 - 750 	CESAR 	SAN DIEGO
20 - 770 	CESAR 	SAN MARTÍN
20 - 787 	CESAR 	TAMALAMEQUE
23 - 001 	CORDOBA 	MONTERÍA
23 - 068 	CORDOBA 	AYAPEL
23 - 079 	CORDOBA 	BUENAVISTA
23 - 090 	CORDOBA 	CANALETE
23 - 162 	CORDOBA 	CERETÉ
23 - 168 	CORDOBA 	CHIMÁ
23 - 182 	CORDOBA 	CHINÚ
23 - 189 	CORDOBA 	CIÉNAGA DE ORO
23 - 300 	CORDOBA 	COTORRA
23 - 350 	CORDOBA 	LA APARTADA
23 - 417 	CORDOBA 	LORICA
23 - 419 	CORDOBA 	LOS CÓRDOBAS
23 - 464 	CORDOBA 	MOMIL
23 - 466 	CORDOBA 	MONTELÍBANO
23 - 500 	CORDOBA 	MOÑITOS
23 - 555 	CORDOBA 	PLANETA RICA
23 - 570 	CORDOBA 	PUEBLO NUEVO
23 - 574 	CORDOBA 	PUERTO ESCONDIDO
23 - 580 	CORDOBA 	PUERTO LIBERTADOR
23 - 586 	CORDOBA 	PURÍSIMA DE LA CONCEPCIÓN
23 - 660 	CORDOBA 	SAHAGÚN
23 - 670 	CORDOBA 	SAN ANDRÉS DE SOTAVENTO
23 - 672 	CORDOBA 	SAN ANTERO
23 - 675 	CORDOBA 	SAN BERNARDO DEL VIENTO
23 - 678 	CORDOBA 	SAN CARLOS
23 - 682 	CORDOBA 	SAN JOSÉ DE URÉ
23 - 686 	CORDOBA 	SAN PELAYO
23 - 807 	CORDOBA 	TIERRALTA
23 - 815 	CORDOBA 	TUCHÍN
23 - 855 	CORDOBA 	VALENCIA
25 - 001 	CUNDINAMARCA 	AGUA DE DIOS
25 - 019 	CUNDINAMARCA 	ALBÁN
25 - 035 	CUNDINAMARCA 	ANAPOIMA
25 - 040 	CUNDINAMARCA 	ANOLAIMA
25 - 053 	CUNDINAMARCA 	ARBELÁEZ
25 - 086 	CUNDINAMARCA 	BELTRÁN
25 - 095 	CUNDINAMARCA 	BITUIMA
25 - 099 	CUNDINAMARCA 	BOJACÁ
25 - 120 	CUNDINAMARCA 	CABRERA
25 - 123 	CUNDINAMARCA 	CACHIPAY
25 - 126 	CUNDINAMARCA 	CAJICÁ
25 - 148 	CUNDINAMARCA 	CAPARRAPÍ
25 - 151 	CUNDINAMARCA 	CÁQUEZA
25 - 154 	CUNDINAMARCA 	CARMEN DE CARUPA
25 - 168 	CUNDINAMARCA 	CHAGUANÍ
25 - 175 	CUNDINAMARCA 	CHÍA
25 - 178 	CUNDINAMARCA 	CHIPAQUE
25 - 181 	CUNDINAMARCA 	CHOACHÍ
25 - 183 	CUNDINAMARCA 	CHOCONTÁ
25 - 200 	CUNDINAMARCA 	COGUA
25 - 214 	CUNDINAMARCA 	COTA
25 - 224 	CUNDINAMARCA 	CUCUNUBÁ
25 - 245 	CUNDINAMARCA 	EL COLEGIO
25 - 258 	CUNDINAMARCA 	EL PEÑÓN
25 - 260 	CUNDINAMARCA 	EL ROSAL
25 - 269 	CUNDINAMARCA 	FACATATIVÁ
25 - 279 	CUNDINAMARCA 	FÓMEQUE
25 - 281 	CUNDINAMARCA 	FOSCA
25 - 286 	CUNDINAMARCA 	FUNZA
25 - 288 	CUNDINAMARCA 	FÚQUENE
25 - 290 	CUNDINAMARCA 	FUSAGASUGÁ
25 - 293 	CUNDINAMARCA 	GACHALÁ
25 - 295 	CUNDINAMARCA 	GACHANCIPÁ
25 - 297 	CUNDINAMARCA 	GACHETÁ
25 - 299 	CUNDINAMARCA 	GAMA
25 - 307 	CUNDINAMARCA 	GIRARDOT
25 - 312 	CUNDINAMARCA 	GRANADA
25 - 317 	CUNDINAMARCA 	GUACHETÁ
25 - 320 	CUNDINAMARCA 	GUADUAS
25 - 322 	CUNDINAMARCA 	GUASCA
25 - 324 	CUNDINAMARCA 	GUATAQUÍ
25 - 326 	CUNDINAMARCA 	GUATAVITA
25 - 328 	CUNDINAMARCA 	GUAYABAL DE SÍQUIMA
25 - 335 	CUNDINAMARCA 	GUAYABETAL
25 - 339 	CUNDINAMARCA 	GUTIÉRREZ
25 - 368 	CUNDINAMARCA 	JERUSALÉN
25 - 372 	CUNDINAMARCA 	JUNÍN
25 - 377 	CUNDINAMARCA 	LA CALERA
25 - 386 	CUNDINAMARCA 	LA MESA
25 - 394 	CUNDINAMARCA 	LA PALMA
25 - 398 	CUNDINAMARCA 	LA PEÑA
25 - 402 	CUNDINAMARCA 	LA VEGA
25 - 407 	CUNDINAMARCA 	LENGUAZAQUE
25 - 426 	CUNDINAMARCA 	MACHETÁ
25 - 430 	CUNDINAMARCA 	MADRID
25 - 436 	CUNDINAMARCA 	MANTA
25 - 438 	CUNDINAMARCA 	MEDINA
25 - 473 	CUNDINAMARCA 	MOSQUERA
25 - 483 	CUNDINAMARCA 	NARIÑO
25 - 486 	CUNDINAMARCA 	NEMOCÓN
25 - 488 	CUNDINAMARCA 	NILO
25 - 489 	CUNDINAMARCA 	NIMAIMA
25 - 491 	CUNDINAMARCA 	NOCAIMA
25 - 506 	CUNDINAMARCA 	VENECIA
25 - 513 	CUNDINAMARCA 	PACHO
25 - 518 	CUNDINAMARCA 	PAIME
25 - 524 	CUNDINAMARCA 	PANDI
25 - 530 	CUNDINAMARCA 	PARATEBUENO
25 - 535 	CUNDINAMARCA 	PASCA
25 - 572 	CUNDINAMARCA 	PUERTO SALGAR
25 - 580 	CUNDINAMARCA 	PULÍ
25 - 592 	CUNDINAMARCA 	QUEBRADANEGRA
25 - 594 	CUNDINAMARCA 	QUETAME
25 - 596 	CUNDINAMARCA 	QUIPILE
25 - 599 	CUNDINAMARCA 	APULO
25 - 612 	CUNDINAMARCA 	RICAURTE
25 - 645 	CUNDINAMARCA 	SAN ANTONIO DEL TEQUENDAMA
25 - 649 	CUNDINAMARCA 	SAN BERNARDO
25 - 653 	CUNDINAMARCA 	SAN CAYETANO
25 - 658 	CUNDINAMARCA 	SAN FRANCISCO
25 - 662 	CUNDINAMARCA 	SAN JUAN DE RIOSECO
25 - 718 	CUNDINAMARCA 	SASAIMA
25 - 736 	CUNDINAMARCA 	SESQUILÉ
25 - 740 	CUNDINAMARCA 	SIBATÉ
25 - 743 	CUNDINAMARCA 	SILVANIA
25 - 745 	CUNDINAMARCA 	SIMIJACA
25 - 754 	CUNDINAMARCA 	SOACHA
25 - 758 	CUNDINAMARCA 	SOPÓ
25 - 769 	CUNDINAMARCA 	SUBACHOQUE
25 - 772 	CUNDINAMARCA 	SUESCA
25 - 777 	CUNDINAMARCA 	SUPATÁ
25 - 779 	CUNDINAMARCA 	SUSA
25 - 781 	CUNDINAMARCA 	SUTATAUSA
25 - 785 	CUNDINAMARCA 	TABIO
25 - 793 	CUNDINAMARCA 	TAUSA
25 - 797 	CUNDINAMARCA 	TENA
25 - 799 	CUNDINAMARCA 	TENJO
25 - 805 	CUNDINAMARCA 	TIBACUY
25 - 807 	CUNDINAMARCA 	TIBIRITA
25 - 815 	CUNDINAMARCA 	TOCAIMA
25 - 817 	CUNDINAMARCA 	TOCANCIPÁ
25 - 823 	CUNDINAMARCA 	TOPAIPÍ
